Connecting to host 10.128.0.49, port 5201
[  4] local 10.128.7.7 port 38042 connected to 10.128.0.49 port 5201
[  4]  64.00-65.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  65.00-66.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  66.00-67.00  sec   112 MBytes   942 Mbits/sec    0   2.96 MBytes       
[  4]  67.00-68.00  sec   112 MBytes   941 Mbits/sec   26   2.08 MBytes       
[  4]  68.00-69.00  sec   112 MBytes   941 Mbits/sec    0   2.29 MBytes       
[  4]  69.00-70.00  sec   112 MBytes   941 Mbits/sec    0   2.46 MBytes       
[  4]  70.00-71.00  sec   112 MBytes   942 Mbits/sec    0   2.60 MBytes       
[  4]  71.00-72.00  sec   112 MBytes   941 Mbits/sec    0   2.71 MBytes       
[  4]  72.00-73.00  sec   112 MBytes   942 Mbits/sec    0   2.79 MBytes       
[  4]  73.00-74.00  sec   112 MBytes   941 Mbits/sec    0   2.86 MBytes       
[  4]  74.00-75.00  sec   112 MBytes   942 Mbits/sec    0   2.90 MBytes       
[  4]  75.00-76.00  sec   112 MBytes   942 Mbits/sec    0   2.93 MBytes       
[  4]  76.00-77.00  sec   112 MBytes   941 Mbits/sec    0   2.95 MBytes       
[  4]  77.00-78.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  78.00-79.00  sec   112 MBytes   942 Mbits/sec    0   2.96 MBytes       
[  4]  79.00-80.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  80.00-81.00  sec   112 MBytes   942 Mbits/sec    0   2.96 MBytes       
[  4]  81.00-82.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  82.00-83.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  83.00-84.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  84.00-85.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  85.00-86.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  86.00-87.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  87.00-88.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  88.00-89.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  89.00-90.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  90.00-91.00  sec   112 MBytes   941 Mbits/sec   26   2.12 MBytes       
[  4]  91.00-92.00  sec   112 MBytes   941 Mbits/sec    0   2.23 MBytes       
[  4]  92.00-93.00  sec   112 MBytes   941 Mbits/sec    0   2.33 MBytes       
[  4]  93.00-94.00  sec   112 MBytes   942 Mbits/sec    0   2.40 MBytes       
[  4]  94.00-95.00  sec   112 MBytes   941 Mbits/sec    0   2.45 MBytes       
[  4]  95.00-96.00  sec   112 MBytes   941 Mbits/sec    0   2.48 MBytes       
[  4]  96.00-97.00  sec   112 MBytes   942 Mbits/sec    0   2.50 MBytes       
[  4]  97.00-98.00  sec   112 MBytes   941 Mbits/sec    0   2.51 MBytes       
[  4]  98.00-99.00  sec   112 MBytes   941 Mbits/sec    0   2.51 MBytes       
[  4]  99.00-100.00 sec   112 MBytes   941 Mbits/sec    0   2.51 MBytes       
[  4] 100.00-101.00 sec   112 MBytes   941 Mbits/sec    0   2.51 MBytes       
[  4] 101.00-102.00 sec   112 MBytes   941 Mbits/sec    0   2.52 MBytes       
[  4] 102.00-103.00 sec   112 MBytes   941 Mbits/sec    0   2.53 MBytes       
[  4] 103.00-104.00 sec   112 MBytes   941 Mbits/sec    0   2.55 MBytes       
[  4] 104.00-105.00 sec   112 MBytes   941 Mbits/sec    0   2.58 MBytes       
[  4] 105.00-106.00 sec   112 MBytes   942 Mbits/sec    0   2.63 MBytes       
[  4] 106.00-107.00 sec   112 MBytes   941 Mbits/sec    0   2.70 MBytes       
[  4] 107.00-108.00 sec   112 MBytes   942 Mbits/sec    0   2.80 MBytes       
[  4] 108.00-109.00 sec   112 MBytes   941 Mbits/sec    0   2.92 MBytes       
[  4] 109.00-110.00 sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4] 110.00-111.00 sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4] 111.00-112.00 sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4] 112.00-113.00 sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4] 113.00-114.00 sec   112 MBytes   941 Mbits/sec   26   2.13 MBytes       
[  4] 114.00-115.00 sec   112 MBytes   941 Mbits/sec    0   2.33 MBytes       
[  4] 115.00-116.00 sec   112 MBytes   941 Mbits/sec    0   2.49 MBytes       
[  4] 116.00-117.00 sec   112 MBytes   941 Mbits/sec    0   2.62 MBytes       
[  4] 117.00-118.00 sec   112 MBytes   942 Mbits/sec    0   2.73 MBytes       
[  4] 118.00-119.00 sec   112 MBytes   941 Mbits/sec    0   2.81 MBytes       
[  4] 119.00-120.00 sec   112 MBytes   941 Mbits/sec    0   2.87 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-120.00 sec  13.2 GBytes   942 Mbits/sec  130             sender
[  4]   0.00-120.00 sec  13.1 GBytes   941 Mbits/sec                  receiver

iperf Done.
